RunTimestamp,ModelVersion,Game,Away,Home,Line,Projection,Edge,Confidence,FinalSignal,RawEdgeSignal,SuggestedUnits,SuggestedStake,Selection,AssumedOdds,Book,Consensus,ExpectedPace,RawTotal,AwayProjectedPoints,HomeProjectedPoints,ClosingLine,ActualTotal,Result,CLV_Points,CLV_Percent
2026-05-28 15:12:34,v2.4,IND @ GSV,IND,GSV,167.5,169.89,2.39,39,PASS,PASS,0.0,0.0,OVER,1.91,BetOnline.ag,167.5,80.81,169.88,84.64,85.25,,,,,
2026-05-28 15:12:34,v2.4,MIN @ CHI,MIN,CHI,168.5,169.18,0.68,36,PASS,PASS,0.0,0.0,OVER,1.91,BetOnline.ag,168.5,81.54,169.18,85.83,83.35,,,,,
2026-05-28 15:12:34,v2.4,LAS @ WAS,LAS,WAS,169.5,175.52,6.02,71,STRONG OVER,STRONG OVER,0.75,3.75,OVER,1.91,BetOnline.ag,169.75,80.71,175.52,88.48,87.04,,,,,
2026-05-28 15:12:34,v2.4,PHX @ NYL,PHX,NYL,169.0,173.39,4.39,49,PASS,LEAN OVER,0.0,0.0,OVER,1.91,BetOnline.ag,170.5,80.45,173.39,86.85,86.53,,,,,
2026-05-28 15:12:34,v2.4,ATL @ PDX,ATL,PDX,164.5,169.84,5.34,51,WATCHLIST OVER,LEAN OVER,0.0,0.0,OVER,1.91,BetOnline.ag,164.75,80.61,169.84,85.92,83.92,,,,,
2026-05-28 15:13:24,v2.4,LVA @ DAL,LVA,DAL,178.0,175.0,-3.0,40,PASS,PASS,0.0,0.0,UNDER,1.91,BetOnline.ag,178.0,80.96,174.99,87.52,87.48,,,,,
2026-05-28 15:13:24,v2.4,IND @ GSV,IND,GSV,167.5,169.89,2.39,39,PASS,PASS,0.0,0.0,OVER,1.91,BetOnline.ag,167.5,80.81,169.88,84.64,85.25,,,,,
2026-05-28 15:13:24,v2.4,MIN @ CHI,MIN,CHI,168.5,169.18,0.68,36,PASS,PASS,0.0,0.0,OVER,1.91,BetOnline.ag,168.5,81.54,169.18,85.83,83.35,,,,,
2026-05-28 15:13:24,v2.4,LAS @ WAS,LAS,WAS,169.5,175.52,6.02,71,STRONG OVER,STRONG OVER,0.75,3.75,OVER,1.91,BetOnline.ag,169.75,80.71,175.52,88.48,87.04,,,,,
2026-05-28 15:13:24,v2.4,PHX @ NYL,PHX,NYL,169.0,173.39,4.39,49,PASS,LEAN OVER,0.0,0.0,OVER,1.91,BetOnline.ag,170.5,80.45,173.39,86.85,86.53,,,,,
2026-05-28 15:13:24,v2.4,ATL @ PDX,ATL,PDX,164.5,169.84,5.34,51,WATCHLIST OVER,LEAN OVER,0.0,0.0,OVER,1.91,BetOnline.ag,164.75,80.61,169.84,85.92,83.92,,,,,
2026-05-28 15:27:31,v2.4,LVA @ DAL,LVA,DAL,178.0,175.0,-3.0,40,PASS,PASS,0.0,0.0,UNDER,1.91,BetOnline.ag,178.0,80.96,174.99,87.52,87.48,,,,,
2026-05-28 15:27:31,v2.4,IND @ GSV,IND,GSV,167.5,169.89,2.39,39,PASS,PASS,0.0,0.0,OVER,1.91,BetOnline.ag,167.5,80.81,169.88,84.64,85.25,,,,,
2026-05-28 15:27:31,v2.4,MIN @ CHI,MIN,CHI,168.5,169.18,0.68,36,PASS,PASS,0.0,0.0,OVER,1.91,BetOnline.ag,168.5,81.54,169.18,85.83,83.35,,,,,
2026-05-28 15:27:31,v2.4,LAS @ WAS,LAS,WAS,169.5,175.52,6.02,71,STRONG OVER,STRONG OVER,0.75,3.75,OVER,1.91,BetOnline.ag,169.75,80.71,175.52,88.48,87.04,,,,,
2026-05-28 15:27:31,v2.4,PHX @ NYL,PHX,NYL,169.5,173.39,3.89,51,PASS,LEAN OVER,0.0,0.0,OVER,1.91,BetOnline.ag,170.5,80.45,173.39,86.85,86.53,,,,,
2026-05-28 15:27:31,v2.4,ATL @ PDX,ATL,PDX,164.5,169.84,5.34,51,WATCHLIST OVER,LEAN OVER,0.0,0.0,OVER,1.91,BetOnline.ag,164.75,80.61,169.84,85.92,83.92,,,,,
2026-05-28 16:22:10,v2.4,LVA @ DAL,LVA,DAL,178.5,175.0,-3.5,42,PASS,LEAN UNDER,0.0,0.0,UNDER,1.91,BetOnline.ag,178.5,80.96,174.99,87.52,87.48,,,,,
2026-05-28 16:22:10,v2.4,IND @ GSV,IND,GSV,167.5,169.89,2.39,39,PASS,PASS,0.0,0.0,OVER,1.91,BetOnline.ag,167.5,80.81,169.88,84.64,85.25,,,,,
2026-05-28 16:22:10,v2.4,MIN @ CHI,MIN,CHI,168.5,169.18,0.68,36,PASS,PASS,0.0,0.0,OVER,1.91,BetOnline.ag,168.5,81.54,169.18,85.83,83.35,,,,,
2026-05-28 16:22:10,v2.4,LAS @ WAS,LAS,WAS,169.5,175.52,6.02,71,STRONG OVER,STRONG OVER,0.75,3.75,OVER,1.91,BetOnline.ag,169.75,80.71,175.52,88.48,87.04,,,,,
2026-05-28 16:22:10,v2.4,PHX @ NYL,PHX,NYL,169.5,173.39,3.89,51,PASS,LEAN OVER,0.0,0.0,OVER,1.91,BetOnline.ag,170.5,80.45,173.39,86.85,86.53,,,,,
2026-05-28 16:22:10,v2.4,ATL @ PDX,ATL,PDX,164.5,169.84,5.34,51,WATCHLIST OVER,LEAN OVER,0.0,0.0,OVER,1.91,BetOnline.ag,164.75,80.61,169.84,85.92,83.92,,,,,
2026-05-28 16:55:46,v2.4,LVA @ DAL,LVA,DAL,178.5,175.0,-3.5,42,PASS,LEAN UNDER,0.0,0.0,UNDER,1.91,BetOnline.ag,178.5,80.96,174.99,87.52,87.48,,,,,
2026-05-28 16:55:46,v2.4,IND @ GSV,IND,GSV,167.5,169.89,2.39,39,PASS,PASS,0.0,0.0,OVER,1.91,BetOnline.ag,167.5,80.81,169.88,84.64,85.25,,,,,
2026-05-28 16:55:46,v2.4,MIN @ CHI,MIN,CHI,168.5,169.18,0.68,36,PASS,PASS,0.0,0.0,OVER,1.91,BetOnline.ag,168.5,81.54,169.18,85.83,83.35,,,,,
2026-05-28 16:55:46,v2.4,LAS @ WAS,LAS,WAS,169.5,175.52,6.02,71,STRONG OVER,STRONG OVER,0.75,3.75,OVER,1.91,BetOnline.ag,169.5,80.71,175.52,88.48,87.04,,,,,
2026-05-28 16:55:46,v2.4,PHX @ NYL,PHX,NYL,169.5,173.39,3.89,51,PASS,LEAN OVER,0.0,0.0,OVER,1.91,BetOnline.ag,170.5,80.45,173.39,86.85,86.53,,,,,
2026-05-28 16:55:46,v2.4,ATL @ PDX,ATL,PDX,164.5,169.84,5.34,51,WATCHLIST OVER,LEAN OVER,0.0,0.0,OVER,1.91,BetOnline.ag,164.75,80.61,169.84,85.92,83.92,,,,,
2026-05-28 16:58:05,v2.4,LVA @ DAL,LVA,DAL,178.5,175.0,-3.5,42,PASS,LEAN UNDER,0.0,0.0,UNDER,1.91,BetOnline.ag,178.5,80.96,174.99,87.52,87.48,,,,,
2026-05-28 16:58:05,v2.4,IND @ GSV,IND,GSV,167.5,169.89,2.39,39,PASS,PASS,0.0,0.0,OVER,1.91,BetOnline.ag,167.5,80.81,169.88,84.64,85.25,,,,,
2026-05-28 16:58:05,v2.4,MIN @ CHI,MIN,CHI,168.5,169.18,0.68,36,PASS,PASS,0.0,0.0,OVER,1.91,BetOnline.ag,168.5,81.54,169.18,85.83,83.35,,,,,
2026-05-28 16:58:05,v2.4,LAS @ WAS,LAS,WAS,169.5,175.52,6.02,71,STRONG OVER,STRONG OVER,0.75,3.75,OVER,1.91,BetOnline.ag,169.5,80.71,175.52,88.48,87.04,,,,,
2026-05-28 16:58:05,v2.4,PHX @ NYL,PHX,NYL,169.5,173.39,3.89,51,PASS,LEAN OVER,0.0,0.0,OVER,1.91,BetOnline.ag,170.5,80.45,173.39,86.85,86.53,,,,,
2026-05-28 16:58:05,v2.4,ATL @ PDX,ATL,PDX,164.5,169.84,5.34,51,WATCHLIST OVER,LEAN OVER,0.0,0.0,OVER,1.91,BetOnline.ag,164.75,80.61,169.84,85.92,83.92,,,,,
2026-05-28 17:43:56,v2.4,LVA @ DAL,LVA,DAL,178.5,175.0,-3.5,42,PASS,LEAN UNDER,0.0,0.0,UNDER,1.91,BetOnline.ag,178.5,80.96,174.99,87.52,87.48,,,,,
2026-05-28 17:43:56,v2.4,IND @ GSV,IND,GSV,167.0,169.89,2.89,41,PASS,PASS,0.0,0.0,OVER,1.91,BetOnline.ag,167.0,80.81,169.88,84.64,85.25,,,,,
2026-05-28 17:43:56,v2.4,MIN @ CHI,MIN,CHI,169.0,169.18,0.18,34,PASS,PASS,0.0,0.0,OVER,1.91,BetOnline.ag,168.5,81.54,169.18,85.83,83.35,,,,,
2026-05-28 17:43:56,v2.4,LAS @ WAS,LAS,WAS,169.5,175.52,6.02,71,STRONG OVER,STRONG OVER,0.75,3.75,OVER,1.91,BetOnline.ag,169.5,80.71,175.52,88.48,87.04,,,,,
2026-05-28 17:43:56,v2.4,PHX @ NYL,PHX,NYL,169.5,173.39,3.89,51,PASS,LEAN OVER,0.0,0.0,OVER,1.91,BetOnline.ag,170.5,80.45,173.39,86.85,86.53,,,,,
2026-05-28 17:43:56,v2.4,ATL @ PDX,ATL,PDX,164.5,169.84,5.34,51,WATCHLIST OVER,LEAN OVER,0.0,0.0,OVER,1.91,BetOnline.ag,164.75,80.61,169.84,85.92,83.92,,,,,
2026-05-28 20:43:10,v2.4,LVA @ DAL,LVA,DAL,178.5,175.0,-3.5,42,PASS,LEAN UNDER,0.0,0.0,UNDER,1.91,BetOnline.ag,178.5,80.96,174.99,87.52,87.48,,,,,
2026-05-28 20:43:10,v2.4,IND @ GSV,IND,GSV,167.0,169.89,2.89,41,PASS,PASS,0.0,0.0,OVER,1.91,BetOnline.ag,167.0,80.81,169.88,84.64,85.25,,,,,
2026-05-28 20:43:10,v2.4,MIN @ CHI,MIN,CHI,169.0,169.18,0.18,34,PASS,PASS,0.0,0.0,OVER,1.91,BetOnline.ag,168.5,81.54,169.18,85.83,83.35,,,,,
2026-05-28 20:43:10,v2.4,LAS @ WAS,LAS,WAS,169.5,175.52,6.02,71,STRONG OVER,STRONG OVER,0.75,3.75,OVER,1.91,BetOnline.ag,169.5,80.71,175.52,88.48,87.04,,,,,
2026-05-28 20:43:10,v2.4,PHX @ NYL,PHX,NYL,169.5,173.39,3.89,51,PASS,LEAN OVER,0.0,0.0,OVER,1.91,BetOnline.ag,170.5,80.45,173.39,86.85,86.53,,,,,
2026-05-28 20:43:10,v2.4,ATL @ PDX,ATL,PDX,164.5,169.84,5.34,51,WATCHLIST OVER,LEAN OVER,0.0,0.0,OVER,1.91,BetOnline.ag,164.75,80.61,169.84,85.92,83.92,,,,,
2026-05-28 21:23:38,v2.4,LVA @ DAL,LVA,DAL,176.5,175.0,-1.5,34,PASS,PASS,0.0,0.0,UNDER,1.91,BetOnline.ag,176.5,80.96,174.99,87.52,87.48,,,,,
2026-05-28 21:23:38,v2.4,IND @ GSV,IND,GSV,167.0,169.89,2.89,41,PASS,PASS,0.0,0.0,OVER,1.91,BetOnline.ag,167.0,80.81,169.88,84.64,85.25,,,,,
2026-05-28 21:23:38,v2.4,MIN @ CHI,MIN,CHI,170.0,169.18,-0.82,45,PASS,PASS,0.0,0.0,UNDER,1.91,BetOnline.ag,170.0,81.54,169.18,85.83,83.35,,,,,
2026-05-28 21:23:38,v2.4,LAS @ WAS,LAS,WAS,168.5,175.52,7.02,75,A-GRADE STRONG OVER,STRONG OVER,1.0,5.0,OVER,1.91,BetOnline.ag,168.5,80.71,175.52,88.48,87.04,,,,,
2026-05-28 21:23:38,v2.4,PHX @ NYL,PHX,NYL,169.5,173.39,3.89,56,LEAN OVER,LEAN OVER,0.35,1.75,OVER,1.91,BetOnline.ag,169.5,80.45,173.39,86.85,86.53,,,,,
2026-05-28 21:23:38,v2.4,ATL @ PDX,ATL,PDX,164.5,169.84,5.34,51,WATCHLIST OVER,LEAN OVER,0.0,0.0,OVER,1.91,BetOnline.ag,164.5,80.61,169.84,85.92,83.92,,,,,
2026-05-28 22:08:02,v2.4,LVA @ DAL,LVA,DAL,176.5,175.0,-1.5,34,PASS,PASS,0.0,0.0,UNDER,1.91,BetOnline.ag,176.5,80.96,174.99,87.52,87.48,,,,,
2026-05-28 22:08:02,v2.4,IND @ GSV,IND,GSV,167.0,169.89,2.89,41,PASS,PASS,0.0,0.0,OVER,1.91,BetOnline.ag,167.0,80.81,169.88,84.64,85.25,,,,,
2026-05-28 22:08:02,v2.4,MIN @ CHI,MIN,CHI,170.0,169.18,-0.82,45,PASS,PASS,0.0,0.0,UNDER,1.91,BetOnline.ag,170.0,81.54,169.18,85.83,83.35,,,,,
2026-05-28 22:08:02,v2.4,LAS @ WAS,LAS,WAS,168.5,175.52,7.02,75,A-GRADE STRONG OVER,STRONG OVER,1.0,5.0,OVER,1.91,BetOnline.ag,168.5,80.71,175.52,88.48,87.04,,,,,
2026-05-28 22:08:02,v2.4,PHX @ NYL,PHX,NYL,169.5,173.39,3.89,56,LEAN OVER,LEAN OVER,0.35,1.75,OVER,1.91,BetOnline.ag,169.5,80.45,173.39,86.85,86.53,,,,,
2026-05-28 22:08:02,v2.4,ATL @ PDX,ATL,PDX,164.5,169.84,5.34,51,WATCHLIST OVER,LEAN OVER,0.0,0.0,OVER,1.91,BetOnline.ag,164.5,80.61,169.84,85.92,83.92,,,,,
2026-05-28 22:13:21,v2.4,LVA @ DAL,LVA,DAL,176.5,175.0,-1.5,34,PASS,PASS,0.0,0.0,UNDER,1.91,BetOnline.ag,176.5,80.96,174.99,87.52,87.48,,,,,
2026-05-28 22:13:21,v2.4,IND @ GSV,IND,GSV,167.0,169.89,2.89,41,PASS,PASS,0.0,0.0,OVER,1.91,BetOnline.ag,167.0,80.81,169.88,84.64,85.25,,,,,
2026-05-28 22:13:21,v2.4,MIN @ CHI,MIN,CHI,170.0,169.18,-0.82,45,PASS,PASS,0.0,0.0,UNDER,1.91,BetOnline.ag,170.0,81.54,169.18,85.83,83.35,,,,,
2026-05-28 22:13:21,v2.4,LAS @ WAS,LAS,WAS,168.5,175.52,7.02,75,A-GRADE STRONG OVER,STRONG OVER,1.0,5.0,OVER,1.91,BetOnline.ag,168.5,80.71,175.52,88.48,87.04,,,,,
2026-05-28 22:13:21,v2.4,PHX @ NYL,PHX,NYL,169.5,173.39,3.89,56,LEAN OVER,LEAN OVER,0.35,1.75,OVER,1.91,BetOnline.ag,169.5,80.45,173.39,86.85,86.53,,,,,
2026-05-28 22:13:21,v2.4,ATL @ PDX,ATL,PDX,164.5,169.84,5.34,51,WATCHLIST OVER,LEAN OVER,0.0,0.0,OVER,1.91,BetOnline.ag,164.5,80.61,169.84,85.92,83.92,,,,,
2026-05-28 23:19:41,v2.4,LVA @ DAL,LVA,DAL,176.5,175.0,-1.5,34,PASS,PASS,0.0,0.0,UNDER,1.91,BetOnline.ag,176.5,80.96,174.99,87.52,87.48,,,,,
2026-05-28 23:19:41,v2.4,IND @ GSV,IND,GSV,167.0,169.89,2.89,41,PASS,PASS,0.0,0.0,OVER,1.91,BetOnline.ag,167.0,80.81,169.88,84.64,85.25,,,,,
2026-05-28 23:19:41,v2.4,MIN @ CHI,MIN,CHI,170.0,169.18,-0.82,45,PASS,PASS,0.0,0.0,UNDER,1.91,BetOnline.ag,170.0,81.54,169.18,85.83,83.35,,,,,
2026-05-28 23:19:41,v2.4,LAS @ WAS,LAS,WAS,169.0,175.52,6.52,73,STRONG OVER,STRONG OVER,0.75,3.75,OVER,1.91,BetOnline.ag,168.75,80.71,175.52,88.48,87.04,,,,,
2026-05-28 23:19:41,v2.4,PHX @ NYL,PHX,NYL,169.5,173.39,3.89,56,LEAN OVER,LEAN OVER,0.35,1.75,OVER,1.91,BetOnline.ag,169.5,80.45,173.39,86.85,86.53,,,,,
2026-05-28 23:19:41,v2.4,ATL @ PDX,ATL,PDX,164.5,169.84,5.34,51,WATCHLIST OVER,LEAN OVER,0.0,0.0,OVER,1.91,BetOnline.ag,164.5,80.61,169.84,85.92,83.92,,,,,
2026-05-28 23:20:54,v2.4,LVA @ DAL,LVA,DAL,176.5,175.0,-1.5,34,PASS,PASS,0.0,0.0,UNDER,1.91,BetOnline.ag,176.5,80.96,174.99,87.52,87.48,,,,,
2026-05-28 23:20:54,v2.4,IND @ GSV,IND,GSV,167.0,169.89,2.89,41,PASS,PASS,0.0,0.0,OVER,1.91,BetOnline.ag,167.0,80.81,169.88,84.64,85.25,,,,,
2026-05-28 23:20:54,v2.4,MIN @ CHI,MIN,CHI,170.0,169.18,-0.82,45,PASS,PASS,0.0,0.0,UNDER,1.91,BetOnline.ag,170.0,81.54,169.18,85.83,83.35,,,,,
2026-05-28 23:20:54,v2.4,LAS @ WAS,LAS,WAS,169.0,175.52,6.52,73,STRONG OVER,STRONG OVER,0.75,3.75,OVER,1.91,BetOnline.ag,168.75,80.71,175.52,88.48,87.04,,,,,
2026-05-28 23:20:54,v2.4,PHX @ NYL,PHX,NYL,169.5,173.39,3.89,56,LEAN OVER,LEAN OVER,0.35,1.75,OVER,1.91,BetOnline.ag,169.5,80.45,173.39,86.85,86.53,,,,,
2026-05-28 23:20:54,v2.4,ATL @ PDX,ATL,PDX,164.5,169.84,5.34,51,WATCHLIST OVER,LEAN OVER,0.0,0.0,OVER,1.91,BetOnline.ag,164.5,80.61,169.84,85.92,83.92,,,,,
