GroupID,Date,Game,Market,Side,ModelSignalID,ModelSource,ModelSignal,ModelLine,ModelOdds,ModelProjection,ModelEdge,ModelConfidence,ConfidenceGrade,ClosingLine,StrictModelCLVPoints,ExecutionTickets,ExecutionType,ExposureLabel,ExecutedLines,ExecutedOdds,AverageExecutedLine,BestExecutedLine,WorstExecutedLine,AverageExecutedOdds,AverageExecutionLineValue,BestExecutionLineValue,TotalStake,TotalReturn,NetProfit,ROI_Percent,Status,Actual,BetIDs,HermesNote,UpdatedAt
2026-05-31|LAS SPARKS @ CON SUN|moneyline|LAS,2026-05-31,LAS SPARKS @ CON SUN,moneyline,LAS,EXEC_ONLY|2026-05-31|LAS SPARKS @ CON SUN|moneyline|LAS|0,unmatched,MODEL_QUEUE_ML,0.0,,0.0,0.243,70.0,,0.0,,1,single_execution,SINGLE,0,1.83,0.0,0.0,0.0,1.83,0.0,0.0,0.1,0.0,-0.1,-100.0,LOST,0.0,BET-00040,Single execution fill. Count as one signal/fill unless manually linked otherwise.,2026-06-06T16:01:07+00:00
2026-05-31|LAS SPARKS @ CON SUN|spread|LAS,2026-05-31,LAS SPARKS @ CON SUN,spread,LAS,EXEC_ONLY|2026-05-31|LAS SPARKS @ CON SUN|spread|LAS|-3.5,unmatched,MODEL_QUEUE_1,-3.5,,0.0,10.25,66.75,,-3.5,,1,single_execution,SINGLE,-3.5,1.82,-3.5,-3.5,-3.5,1.82,0.0,0.0,0.1,0.0,-0.1,-100.0,LOST,0.0,BET-00039,Single execution fill. Count as one signal/fill unless manually linked otherwise.,2026-06-06T16:01:07+00:00
2026-05-31|LV ACES @ GS VALKYRIES|game_total|OVER,2026-05-31,LV ACES @ GS VALKYRIES,game_total,OVER,EXEC_ONLY|2026-05-31|LV ACES @ GS VALKYRIES|game_total|OVER|168.5,unmatched,MODEL_QUEUE_2,168.5,,0.0,6.8133,65.25,,168.5,,2,grouped_execution,CORRELATED,"168.5, 168.5","1.9, 1.87",168.5,168.5,168.5,1.885,0.0,0.0,0.2,0.38,0.18,89.99999999999999,WON,172.0,"BET-00041, BET-00044","Grouped 2 fills as one OVER game_total thesis. Count bankroll P/L per ticket, but count validation as one model signal.",2026-06-06T16:01:07+00:00
2026-05-31|LV ACES @ GS VALKYRIES|spread|GSV,2026-05-31,LV ACES @ GS VALKYRIES,spread,GSV,EXEC_ONLY|2026-05-31|LV ACES @ GS VALKYRIES|spread|GSV|1.5,unmatched,MODEL_QUEUE_3,1.5,,0.0,6.3583,55.08,,1.5,,2,grouped_execution,CORRELATED,"1.5, 1.5","1.87, 1.93",1.5,1.5,1.5,1.9,0.0,0.0,0.2,0.0,-0.2,-100.0,LOST,0.0,"BET-00042, BET-00043","Grouped 2 fills as one GSV spread thesis. Count bankroll P/L per ticket, but count validation as one model signal.",2026-06-06T16:01:07+00:00
2026-05-30|LAS SPARKS @ WAS MYSTICS|game_total|OVER,2026-05-30,LAS SPARKS @ WAS MYSTICS,game_total,OVER,EXEC_ONLY|2026-05-30|LAS SPARKS @ WAS MYSTICS|game_total|OVER|167.3,unmatched,Manual settled total ladder,0.0,,0.0,0.0,0.0,,165.5,,5,grouped_execution,CORRELATED,"165.5, 166.5, 167.5, 168.5, 168.5","1.95, 2.05, 2.15, 1.86, 2.25",167.3,165.5,168.5,2.052,-167.3,-165.5,0.5,1.05,0.55,110.00000000000001,WON,179.0,"BET-00028, BET-00029, BET-00030, BET-00031, BET-00032","Grouped 5 fills as one OVER game_total thesis. Count bankroll P/L per ticket, but count validation as one model signal. Execution was 167.30 pts worse than model line.",2026-06-06T16:01:07+00:00
2026-05-28|ATL @ MIN|game_total|UNDER,2026-05-28,ATL @ MIN,game_total,UNDER,2026-05-28|WNBA|ATL @ MIN|Game Total|OVER|165.5|v2.4,signal_tracker_graded.csv,PASS,165.5,1.91,168.9,3.4,43.0,D,0.0,0.0,1,single_execution,SINGLE,163.5,1.91,163.5,163.5,163.5,1.91,-2.0,-2.0,0.1,0.0,-0.1,-100.0,LOST,177.0,BET-00027,Single execution fill. Count as one signal/fill unless manually linked otherwise.,2026-06-06T16:01:07+00:00
2026-05-28|ATL @ MIN|points_rebounds|UNDER,2026-05-28,ATL @ MIN,points_rebounds,UNDER,EXEC_ONLY|2026-05-28|ATL @ MIN|points_rebounds|UNDER|25.5,unmatched,High Usage Big vs Stingy,25.5,,0.0,0.0,0.0,,24.5,,1,single_execution,SINGLE,25.5,1.86,25.5,25.5,25.5,1.86,0.0,0.0,0.1,0.186,0.086,85.99999999999999,WON,18.0,BET-00024,Single execution fill. Count as one signal/fill unless manually linked otherwise.,2026-06-06T16:01:07+00:00
2026-05-28|ATL @ MIN|rebounds|UNDER,2026-05-28,ATL @ MIN,rebounds,UNDER,EXEC_ONLY|2026-05-28|ATL @ MIN|rebounds|UNDER|9.5,unmatched,High Usage Big vs Stingy,11.5,,0.0,0.0,0.0,,11.5,,2,grouped_execution,CORRELATED,"11.5, 7.5","2.05, 1.83",9.5,11.5,7.5,1.94,-2.0,0.0,0.2,0.20500000000000002,0.0049999999999999906,2.499999999999995,MIXED,8.0,"BET-00023, BET-00025","Grouped 2 fills as one UNDER rebounds thesis. Count bankroll P/L per ticket, but count validation as one model signal. Execution was 2.00 pts worse than model line.",2026-06-06T16:01:07+00:00
2026-05-28|WAS @ SEA|rebounds|OVER,2026-05-28,WAS @ SEA,rebounds,OVER,EXEC_ONLY|2026-05-28|WAS @ SEA|rebounds|OVER|7.5,unmatched,Big vs Generous DREB,7.5,,0.0,0.0,0.0,,7.5,,1,single_execution,SINGLE,7.5,1.83,7.5,7.5,7.5,1.83,0.0,0.0,0.1,0.183,0.083,83.0,WON,13.0,BET-00026,Single execution fill. Count as one signal/fill unless manually linked otherwise.,2026-06-06T16:01:07+00:00
2026-05-25|CON @ GS|game_total|OVER,2026-05-25,CON @ GS,game_total,OVER,EXEC_ONLY|2026-05-25|CON @ GS|game_total|OVER|161.5,unmatched,DREB Generous Total,161.5,,0.0,0.0,0.0,,158.5,,1,single_execution,SINGLE,161.5,1.98,161.5,161.5,161.5,1.98,0.0,0.0,0.1,0.198,0.098,98.0,WON,167.0,BET-00017,Single execution fill. Count as one signal/fill unless manually linked otherwise.,2026-06-06T16:01:07+00:00
2026-05-25|CON @ GS|rebounds|OVER,2026-05-25,CON @ GS,rebounds,OVER,EXEC_ONLY|2026-05-25|CON @ GS|rebounds|OVER|4.5,unmatched,Wing vs Generous DREB,4.5,,0.0,0.0,0.0,,4.5,,2,grouped_execution,CORRELATED,"4.5, 4.5","2.15, 2.15",4.5,4.5,4.5,2.15,0.0,0.0,0.2,0.21500000000000002,0.015,7.5,MIXED,5.0,"BET-00020, BET-00021","Grouped 2 fills as one OVER rebounds thesis. Count bankroll P/L per ticket, but count validation as one model signal.",2026-06-06T16:01:07+00:00
2026-05-25|POR @ NY|rebounds|UNDER,2026-05-25,POR @ NY,rebounds,UNDER,EXEC_ONLY|2026-05-25|POR @ NY|rebounds|UNDER|8.5,unmatched,High Usage Big vs Stingy,8.5,,0.0,0.0,0.0,,8.5,,2,grouped_execution,CORRELATED,"8.5, 8.5","1.66, 2",8.5,8.5,8.5,1.83,0.0,0.0,0.2,0.2,0.0,0.0,MIXED,11.0,"BET-00018, BET-00019","Grouped 2 fills as one UNDER rebounds thesis. Count bankroll P/L per ticket, but count validation as one model signal.",2026-06-06T16:01:07+00:00
2026-05-25|SPORTING @ PORTO|game_total|UNDER,2026-05-25,SPORTING @ PORTO,game_total,UNDER,EXEC_ONLY|2026-05-25|SPORTING @ PORTO|game_total|UNDER|161.5,unmatched,Elite DREB Playoff Total,161.5,,0.0,0.0,0.0,,161.5,,1,single_execution,SINGLE,161.5,2.15,161.5,161.5,161.5,2.15,0.0,0.0,0.1,0.21500000000000002,0.115,114.99999999999999,WON,161.0,BET-00022,Single execution fill. Count as one signal/fill unless manually linked otherwise.,2026-06-06T16:01:07+00:00
2026-05-24|DAL @ NY|game_total|UNDER,2026-05-24,DAL @ NY,game_total,UNDER,EXEC_ONLY|2026-05-24|DAL @ NY|game_total|UNDER|176.5,unmatched,DREB Stingy Total,176.5,,0.0,0.0,0.0,,179.5,,1,single_execution,SINGLE,176.5,1.9,176.5,176.5,176.5,1.9,0.0,0.0,0.1,0.19,0.09,89.99999999999999,WON,162.0,BET-00012,Single execution fill. Count as one signal/fill unless manually linked otherwise.,2026-06-06T16:01:07+00:00
2026-05-24|LAS @ LV|double_double|NO,2026-05-24,LAS @ LV,double_double,NO,EXEC_ONLY|2026-05-24|LAS @ LV|double_double|NO|0.5,unmatched,High Usage Big vs Stingy,0.5,,0.0,0.0,0.0,,0.5,,1,single_execution,SINGLE,0.5,1.83,0.5,0.5,0.5,1.83,0.0,0.0,0.1,0.0,-0.1,-100.0,LOST,1.0,BET-00015,Single execution fill. Count as one signal/fill unless manually linked otherwise.,2026-06-06T16:01:07+00:00
2026-05-24|LAS @ LV|game_total|UNDER,2026-05-24,LAS @ LV,game_total,UNDER,EXEC_ONLY|2026-05-24|LAS @ LV|game_total|UNDER|181.5,unmatched,DREB Stingy Total,181.5,,0.0,0.0,0.0,,180.5,,1,single_execution,SINGLE,181.5,1.9,181.5,181.5,181.5,1.9,0.0,0.0,0.1,0.0,-0.1,-100.0,LOST,196.0,BET-00013,Single execution fill. Count as one signal/fill unless manually linked otherwise.,2026-06-06T16:01:07+00:00
2026-05-24|LAS @ LV|rebounds|UNDER,2026-05-24,LAS @ LV,rebounds,UNDER,EXEC_ONLY|2026-05-24|LAS @ LV|rebounds|UNDER|8.5,unmatched,High Usage Big vs Stingy,8.5,,0.0,0.0,0.0,,8.5,,1,single_execution,SINGLE,8.5,2.15,8.5,8.5,8.5,2.15,0.0,0.0,0.1,0.0,-0.1,-100.0,LOST,15.0,BET-00014,Single execution fill. Count as one signal/fill unless manually linked otherwise.,2026-06-06T16:01:07+00:00
2026-05-24|TOR @ POR|game_total|OVER,2026-05-24,TOR @ POR,game_total,OVER,EXEC_ONLY|2026-05-24|TOR @ POR|game_total|OVER|173.5,unmatched,DREB Generous Total,173.5,,0.0,0.0,0.0,,173.5,,1,single_execution,SINGLE,173.5,1.9,173.5,173.5,173.5,1.9,0.0,0.0,0.1,0.19,0.09,89.99999999999999,WON,179.0,BET-00011,Single execution fill. Count as one signal/fill unless manually linked otherwise.,2026-06-06T16:01:07+00:00
2026-05-24|WAS @ SEA|rebounds|OVER,2026-05-24,WAS @ SEA,rebounds,OVER,EXEC_ONLY|2026-05-24|WAS @ SEA|rebounds|OVER|8.5,unmatched,Speculative Over,8.5,,0.0,0.0,0.0,,8.5,,1,single_execution,SINGLE,8.5,2.02,8.5,8.5,8.5,2.02,0.0,0.0,0.1,0.0,-0.1,-100.0,LOST,4.0,BET-00016,Single execution fill. Count as one signal/fill unless manually linked otherwise.,2026-06-06T16:01:07+00:00
2026-05-23|CON @ SEA|game_total|OVER,2026-05-23,CON @ SEA,game_total,OVER,EXEC_ONLY|2026-05-23|CON @ SEA|game_total|OVER|165.5,unmatched,DREB Generous Total,165.5,,0.0,0.0,0.0,,165.5,,1,single_execution,SINGLE,165.5,1.87,165.5,165.5,165.5,1.87,0.0,0.0,0.1,0.0,-0.1,-100.0,LOST,161.0,BET-00010,Single execution fill. Count as one signal/fill unless manually linked otherwise.,2026-06-06T16:01:07+00:00
2026-05-23|MIN @ CHI|double_double|NO,2026-05-23,MIN @ CHI,double_double,NO,EXEC_ONLY|2026-05-23|MIN @ CHI|double_double|NO|0.5,unmatched,High Usage Big vs Stingy,0.5,,0.0,0.0,0.0,,0.5,,1,single_execution,SINGLE,0.5,1.9,0.5,0.5,0.5,1.9,0.0,0.0,0.1,0.19,0.09,89.99999999999999,WON,0.0,BET-00009,Single execution fill. Count as one signal/fill unless manually linked otherwise.,2026-06-06T16:01:07+00:00
2026-05-23|MIN @ CHI|pra|UNDER,2026-05-23,MIN @ CHI,pra,UNDER,EXEC_ONLY|2026-05-23|MIN @ CHI|pra|UNDER|26.5,unmatched,High Usage Big vs Stingy,26.5,,0.0,0.0,0.0,,26.5,,1,single_execution,SINGLE,26.5,1.8,26.5,26.5,26.5,1.8,0.0,0.0,0.1,0.18,0.08,80.0,WON,24.0,BET-00008,Single execution fill. Count as one signal/fill unless manually linked otherwise.,2026-06-06T16:01:07+00:00
2026-05-23|MIN @ CHI|rebounds|UNDER,2026-05-23,MIN @ CHI,rebounds,UNDER,EXEC_ONLY|2026-05-23|MIN @ CHI|rebounds|UNDER|10.5,unmatched,High Usage Big vs Stingy,10.5,,0.0,0.0,0.0,,10.5,,1,single_execution,SINGLE,10.5,1.76,10.5,10.5,10.5,1.76,0.0,0.0,0.1,0.176,0.076,75.99999999999999,WON,7.0,BET-00007,Single execution fill. Count as one signal/fill unless manually linked otherwise.,2026-06-06T16:01:07+00:00
2026-05-21|GS @ NY|rebounds|UNDER,2026-05-21,GS @ NY,rebounds,UNDER,EXEC_ONLY|2026-05-21|GS @ NY|rebounds|UNDER|8.5,unmatched,High Usage Big vs Stingy,8.5,,0.0,0.0,0.0,,8.5,,2,grouped_execution,CORRELATED,"8.5, 8.5","1.8, 1.8",8.5,8.5,8.5,1.8,0.0,0.0,0.2,0.18,-0.020000000000000004,-10.000000000000002,MIXED,8.0,"BET-00001, BET-00002","Grouped 2 fills as one UNDER rebounds thesis. Count bankroll P/L per ticket, but count validation as one model signal.",2026-06-06T16:01:07+00:00
2026-05-21|LAS @ PHX|pra|OVER,2026-05-21,LAS @ PHX,pra,OVER,EXEC_ONLY|2026-05-21|LAS @ PHX|pra|OVER|27.5,unmatched,Wing vs Generous DREB,27.5,,0.0,0.0,0.0,,25.5,,1,single_execution,SINGLE,27.5,2,27.5,27.5,27.5,2.0,0.0,0.0,0.1,0.2,0.1,100.0,WON,42.0,BET-00005,Single execution fill. Count as one signal/fill unless manually linked otherwise.,2026-06-06T16:01:07+00:00
2026-05-21|LAS @ PHX|rebounds|OVER,2026-05-21,LAS @ PHX,rebounds,OVER,EXEC_ONLY|2026-05-21|LAS @ PHX|rebounds|OVER|7,unmatched,Wing vs Generous DREB,7.5,,0.0,0.0,0.0,,7.5,,2,grouped_execution,CORRELATED,"7.5, 6.5","1.9, 1.9",7.0,6.5,7.5,1.9,0.5,1.0,0.2,0.19,-0.010000000000000009,-5.000000000000004,MIXED,15.0,"BET-00004, BET-00006","Grouped 2 fills as one OVER rebounds thesis. Count bankroll P/L per ticket, but count validation as one model signal. Execution improved average line by 0.50 pts versus model line.",2026-06-06T16:01:07+00:00
2026-05-21|TOR @ MIN|rebounds|UNDER,2026-05-21,TOR @ MIN,rebounds,UNDER,EXEC_ONLY|2026-05-21|TOR @ MIN|rebounds|UNDER|7.5,unmatched,High Usage Big vs Stingy,7.5,,0.0,0.0,0.0,,7.5,,1,single_execution,SINGLE,7.5,1.83,7.5,7.5,7.5,1.83,0.0,0.0,0.1,0.183,0.083,83.0,WON,6.0,BET-00003,Single execution fill. Count as one signal/fill unless manually linked otherwise.,2026-06-06T16:01:07+00:00
