SignalID,RunTimestamp,SignalDate,League,ModelVersion,Game,Away,Home,Market,Selection,LineAtSignal,Book,ConsensusLine,Projection,Edge,RawTotal,Confidence,ConfidenceGrade,FinalSignal,RawEdgeSignal,SuggestedUnits,SuggestedStake,AssumedOdds,StakeReason,PaceDiag,OffenseDiag,DefenseDiag,EFGDiag,TOVDiag,OREBDiag,FTADiag,DiagnosticSummary,CurrentLine,ClosingLine,ClosingBook,ClosingTime,CLV_Points,CLV_Percent,BeatClose,ActualTotal,WouldHaveWon,ResultStatus,CLV_Source,AwayScore,HomeScore,GameCompleted,ResultSource,ResultUpdatedAt
2026-05-28|WNBA|ATL @ MIN|Game Total|OVER|165.5|v2.4,2026-05-28 02:26:58,2026-05-28,WNBA,v2.4,ATL @ MIN,ATL,MIN,Game Total,OVER,165.5,BetOnline.ag,165.5,168.9,3.4,168.9,43,D,PASS,PASS,0.0,0.0,1.91,No stake: watchlist/pass,POSITIVE,STRONG NEGATIVE,STRONG NEGATIVE,NEUTRAL,NEGATIVE,STRONG POSITIVE,NEGATIVE,"small model edge; pace supports scoring; offensive efficiency weak; four factors: turnover-, OREB+, FTA-; policy pass",,,,,,,,177.0,WIN,GRADED,,81.0,96.0,True,espn_scoreboard,2026-05-28 23:21:01
2026-05-28|WNBA|ATL @ MIN|Game Total|OVER|166.0|v2.4,2026-05-28 00:18:53,2026-05-28,WNBA,v2.4,ATL @ MIN,ATL,MIN,Game Total,OVER,166.0,BetOnline.ag,165.5,168.9,2.9,168.9,41,D,PASS,PASS,0.0,0.0,1.91,No stake: watchlist/pass,POSITIVE,STRONG NEGATIVE,STRONG NEGATIVE,NEUTRAL,NEGATIVE,STRONG POSITIVE,NEGATIVE,"small model edge; pace supports scoring; offensive efficiency weak; four factors: turnover-, OREB+, FTA-; policy pass",,,,,,,,177.0,WIN,GRADED,,81.0,96.0,True,espn_scoreboard,2026-05-28 23:21:01
2026-05-28|WNBA|ATL @ PDX|Game Total|OVER|164.5|v2.4,2026-05-28 23:20:56,2026-05-28,WNBA,v2.4,ATL @ PDX,ATL,PDX,Game Total,OVER,164.5,BetOnline.ag,164.5,169.84,5.34,169.84,51,C,WATCHLIST OVER,LEAN OVER,0.0,0.0,1.91,No stake: watchlist/pass,NEUTRAL,NEGATIVE,NEGATIVE,NEUTRAL,NEUTRAL,NEUTRAL,NEGATIVE,moderate model edge; pace neutral; offensive efficiency weak; four factors: FTA-; policy downgrade: watchlist,164.5,164.5,BetOnline.ag,2026-05-28 23:20:58,0.0,0.0,PUSH,,,OPEN,odds_api_totals,,,,,
2026-05-28|WNBA|ATL @ PDX|Game Total|OVER|165.5|v2.4,2026-05-28 13:33:53,2026-05-28,WNBA,v2.4,ATL @ PDX,ATL,PDX,Game Total,OVER,165.5,FanDuel,165.5,169.84,4.34,169.84,42,D,PASS,LEAN OVER,0.0,0.0,1.91,No stake: watchlist/pass,NEUTRAL,NEGATIVE,NEGATIVE,NEUTRAL,NEUTRAL,NEUTRAL,NEGATIVE,moderate model edge; pace neutral; offensive efficiency weak; four factors: FTA-; policy pass,164.5,164.5,BetOnline.ag,2026-05-28 23:20:58,-1.0,-0.6042296072507553,NO,,,OPEN,odds_api_totals,,,,,
2026-05-28|WNBA|CON @ PDX|Game Total|OVER|166.0|v2.4,2026-05-28 02:26:58,2026-05-28,WNBA,v2.4,CON @ PDX,CON,PDX,Game Total,OVER,166.0,BetOnline.ag,166.5,169.21,3.21,169.21,41,D,PASS,PASS,0.0,0.0,1.91,No stake: watchlist/pass,NEUTRAL,NEGATIVE,STRONG POSITIVE,STRONG NEGATIVE,NEUTRAL,NEUTRAL,STRONG NEGATIVE,"small model edge; pace neutral; offensive efficiency weak; four factors: eFG-, FTA-; policy pass",,,,,,,,,,OPEN,,,,,,
2026-05-28|WNBA|IND @ GSV|Game Total|OVER|167.0|v2.4,2026-05-28 23:20:56,2026-05-28,WNBA,v2.4,IND @ GSV,IND,GSV,Game Total,OVER,167.0,BetOnline.ag,167.0,169.89,2.89,169.88,41,D,PASS,PASS,0.0,0.0,1.91,No stake: watchlist/pass,NEUTRAL,NEGATIVE,STRONG NEGATIVE,NEUTRAL,POSITIVE,POSITIVE,NEGATIVE,"small model edge; pace neutral; offensive efficiency weak; four factors: turnover+, OREB+, FTA-; policy pass",167.0,167.0,BetOnline.ag,2026-05-28 23:20:58,0.0,0.0,PUSH,,,OPEN,odds_api_totals,,,,,
2026-05-28|WNBA|IND @ GSV|Game Total|OVER|167.5|v2.4,2026-05-28 16:58:06,2026-05-28,WNBA,v2.4,IND @ GSV,IND,GSV,Game Total,OVER,167.5,BetOnline.ag,167.5,169.89,2.39,169.88,39,D,PASS,PASS,0.0,0.0,1.91,No stake: watchlist/pass,NEUTRAL,NEGATIVE,STRONG NEGATIVE,NEUTRAL,POSITIVE,POSITIVE,NEGATIVE,"small model edge; pace neutral; offensive efficiency weak; four factors: turnover+, OREB+, FTA-; policy pass",167.0,167.0,BetOnline.ag,2026-05-28 23:20:58,-0.5,-0.2985074626865672,NO,,,OPEN,odds_api_totals,,,,,
2026-05-28|WNBA|IND @ GSV|Game Total|OVER|169.5|v2.4,2026-05-28 02:26:58,2026-05-28,WNBA,v2.4,IND @ GSV,IND,GSV,Game Total,OVER,169.5,BetOnline.ag,169.5,169.89,0.39,169.88,31,D,PASS,PASS,0.0,0.0,1.91,No stake: watchlist/pass,NEUTRAL,NEGATIVE,STRONG NEGATIVE,NEUTRAL,POSITIVE,POSITIVE,NEGATIVE,"small model edge; pace neutral; offensive efficiency weak; four factors: turnover+, OREB+, FTA-; policy pass",167.0,167.0,BetOnline.ag,2026-05-28 23:20:58,-2.5,-1.4749262536873156,NO,,,OPEN,odds_api_totals,,,,,
2026-05-28|WNBA|LAS @ WAS|Game Total|OVER|168.5|v2.4,2026-05-28 22:13:23,2026-05-28,WNBA,v2.4,LAS @ WAS,LAS,WAS,Game Total,OVER,168.5,BetOnline.ag,168.5,175.52,7.02,175.52,75,A,A-GRADE STRONG OVER,STRONG OVER,1.0,5.0,1.91,A-GRADE STRONG OVER at 1.000u,NEUTRAL,STRONG POSITIVE,STRONG POSITIVE,POSITIVE,NEGATIVE,NEUTRAL,STRONG POSITIVE,"large raw model edge; pace neutral; offensive efficiency supports; four factors: eFG+, turnover-, FTA+",169.0,169.0,BetOnline.ag,2026-05-28 23:20:58,0.5,0.2967359050445104,YES,,,OPEN,odds_api_totals,,,,,
2026-05-28|WNBA|LAS @ WAS|Game Total|OVER|169.0|v2.4,2026-05-28 23:20:56,2026-05-28,WNBA,v2.4,LAS @ WAS,LAS,WAS,Game Total,OVER,169.0,BetOnline.ag,168.75,175.52,6.52,175.52,73,B,STRONG OVER,STRONG OVER,0.75,3.75,1.91,STRONG OVER at 0.750u,NEUTRAL,STRONG POSITIVE,STRONG POSITIVE,POSITIVE,NEGATIVE,NEUTRAL,STRONG POSITIVE,"large raw model edge; pace neutral; offensive efficiency supports; four factors: eFG+, turnover-, FTA+",169.0,169.0,BetOnline.ag,2026-05-28 23:20:58,0.0,0.0,PUSH,,,OPEN,odds_api_totals,,,,,
2026-05-28|WNBA|LAS @ WAS|Game Total|OVER|169.5|v2.4,2026-05-28 20:43:12,2026-05-28,WNBA,v2.4,LAS @ WAS,LAS,WAS,Game Total,OVER,169.5,BetOnline.ag,169.5,175.52,6.02,175.52,71,B,STRONG OVER,STRONG OVER,0.75,3.75,1.91,STRONG OVER at 0.750u,NEUTRAL,STRONG POSITIVE,STRONG POSITIVE,POSITIVE,NEGATIVE,NEUTRAL,STRONG POSITIVE,"large raw model edge; pace neutral; offensive efficiency supports; four factors: eFG+, turnover-, FTA+",169.0,169.0,BetOnline.ag,2026-05-28 23:20:58,-0.5,-0.2949852507374631,NO,,,OPEN,odds_api_totals,,,,,
2026-05-28|WNBA|LAS @ WAS|Game Total|OVER|170.5|v2.4,2026-05-28 13:33:53,2026-05-28,WNBA,v2.4,LAS @ WAS,LAS,WAS,Game Total,OVER,170.5,FanDuel,170.25,175.52,5.02,175.52,62,B,LEAN OVER,LEAN OVER,0.35,1.75,1.91,LEAN OVER at 0.350u,NEUTRAL,STRONG POSITIVE,STRONG POSITIVE,POSITIVE,NEGATIVE,NEUTRAL,STRONG POSITIVE,"moderate model edge; pace neutral; offensive efficiency supports; four factors: eFG+, turnover-, FTA+; policy allows small stake",169.0,169.0,BetOnline.ag,2026-05-28 23:20:58,-1.5,-0.8797653958944283,NO,,,OPEN,odds_api_totals,,,,,
2026-05-28|WNBA|LVA @ DAL|Game Total|UNDER|176.5|v2.4,2026-05-28 23:20:56,2026-05-28,WNBA,v2.4,LVA @ DAL,LVA,DAL,Game Total,UNDER,176.5,BetOnline.ag,176.5,175.0,-1.5,174.99,34,D,PASS,PASS,0.0,0.0,1.91,No stake: watchlist/pass,NEUTRAL,STRONG POSITIVE,NEGATIVE,STRONG POSITIVE,NEUTRAL,NEUTRAL,STRONG NEGATIVE,"small model edge; pace neutral; offensive efficiency supports; four factors: eFG+, FTA-; policy pass",,,,,,,,,,OPEN,,,,,,
2026-05-28|WNBA|LVA @ DAL|Game Total|UNDER|177.0|v2.4,2026-05-28 02:26:58,2026-05-28,WNBA,v2.4,LVA @ DAL,LVA,DAL,Game Total,UNDER,177.0,BetOnline.ag,177.0,175.0,-2.0,174.99,36,D,PASS,PASS,0.0,0.0,1.91,No stake: watchlist/pass,NEUTRAL,STRONG POSITIVE,NEGATIVE,STRONG POSITIVE,NEUTRAL,NEUTRAL,STRONG NEGATIVE,"small model edge; pace neutral; offensive efficiency supports; four factors: eFG+, FTA-; policy pass",,,,,,,,,,OPEN,,,,,,
2026-05-28|WNBA|LVA @ DAL|Game Total|UNDER|177.5|v2.4,2026-05-28 14:49:16,2026-05-28,WNBA,v2.4,LVA @ DAL,LVA,DAL,Game Total,UNDER,177.5,BetOnline.ag,177.5,175.0,-2.5,174.99,38,D,PASS,PASS,0.0,0.0,1.91,No stake: watchlist/pass,NEUTRAL,STRONG POSITIVE,NEGATIVE,STRONG POSITIVE,NEUTRAL,NEUTRAL,STRONG NEGATIVE,"small model edge; pace neutral; offensive efficiency supports; four factors: eFG+, FTA-; policy pass",,,,,,,,,,OPEN,,,,,,
2026-05-28|WNBA|LVA @ DAL|Game Total|UNDER|178.0|v2.4,2026-05-28 15:27:32,2026-05-28,WNBA,v2.4,LVA @ DAL,LVA,DAL,Game Total,UNDER,178.0,BetOnline.ag,178.0,175.0,-3.0,174.99,40,D,PASS,PASS,0.0,0.0,1.91,No stake: watchlist/pass,NEUTRAL,STRONG POSITIVE,NEGATIVE,STRONG POSITIVE,NEUTRAL,NEUTRAL,STRONG NEGATIVE,"small model edge; pace neutral; offensive efficiency supports; four factors: eFG+, FTA-; policy pass",,,,,,,,,,OPEN,,,,,,
2026-05-28|WNBA|LVA @ DAL|Game Total|UNDER|178.5|v2.4,2026-05-28 20:43:12,2026-05-28,WNBA,v2.4,LVA @ DAL,LVA,DAL,Game Total,UNDER,178.5,BetOnline.ag,178.5,175.0,-3.5,174.99,42,D,PASS,LEAN UNDER,0.0,0.0,1.91,No stake: watchlist/pass,NEUTRAL,STRONG POSITIVE,NEGATIVE,STRONG POSITIVE,NEUTRAL,NEUTRAL,STRONG NEGATIVE,"moderate model edge; pace neutral; offensive efficiency supports; four factors: eFG+, FTA-; policy pass",,,,,,,,,,OPEN,,,,,,
2026-05-28|WNBA|MIN @ CHI|Game Total|OVER|168.5|v2.4,2026-05-28 16:58:06,2026-05-28,WNBA,v2.4,MIN @ CHI,MIN,CHI,Game Total,OVER,168.5,BetOnline.ag,168.5,169.18,0.68,169.18,36,D,PASS,PASS,0.0,0.0,1.91,No stake: watchlist/pass,POSITIVE,STRONG NEGATIVE,STRONG NEGATIVE,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,small model edge; pace supports scoring; offensive efficiency weak; four factors neutral; policy pass,170.0,170.0,BetOnline.ag,2026-05-28 23:20:58,1.5,0.8902077151335311,YES,,,OPEN,odds_api_totals,,,,,
2026-05-28|WNBA|MIN @ CHI|Game Total|OVER|169.0|v2.4,2026-05-28 20:43:12,2026-05-28,WNBA,v2.4,MIN @ CHI,MIN,CHI,Game Total,OVER,169.0,BetOnline.ag,168.5,169.18,0.18,169.18,34,D,PASS,PASS,0.0,0.0,1.91,No stake: watchlist/pass,POSITIVE,STRONG NEGATIVE,STRONG NEGATIVE,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,small model edge; pace supports scoring; offensive efficiency weak; four factors neutral; policy pass,170.0,170.0,BetOnline.ag,2026-05-28 23:20:58,1.0,0.591715976331361,YES,,,OPEN,odds_api_totals,,,,,
2026-05-28|WNBA|MIN @ CHI|Game Total|UNDER|170.0|v2.4,2026-05-28 23:20:56,2026-05-28,WNBA,v2.4,MIN @ CHI,MIN,CHI,Game Total,UNDER,170.0,BetOnline.ag,170.0,169.18,-0.82,169.18,45,C,PASS,PASS,0.0,0.0,1.91,No stake: watchlist/pass,POSITIVE,STRONG NEGATIVE,STRONG NEGATIVE,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,small model edge; pace supports scoring; offensive efficiency weak; four factors neutral; policy pass,170.0,170.0,BetOnline.ag,2026-05-28 23:20:58,0.0,0.0,PUSH,,,OPEN,odds_api_totals,,,,,
2026-05-28|WNBA|PHX @ NYL|Game Total|OVER|169.0|v2.4,2026-05-28 15:13:25,2026-05-28,WNBA,v2.4,PHX @ NYL,PHX,NYL,Game Total,OVER,169.0,BetOnline.ag,170.5,173.39,4.39,173.39,49,C,PASS,LEAN OVER,0.0,0.0,1.91,No stake: watchlist/pass,NEGATIVE,STRONG POSITIVE,STRONG POSITIVE,NEUTRAL,NEUTRAL,NEGATIVE,STRONG POSITIVE,"moderate model edge; pace suppresses scoring; offensive efficiency supports; four factors: OREB-, FTA+; policy pass",169.5,169.5,BetOnline.ag,2026-05-28 23:20:58,0.5,0.2958579881656805,YES,,,OPEN,odds_api_totals,,,,,
2026-05-28|WNBA|PHX @ NYL|Game Total|OVER|169.5|v2.4,2026-05-28 23:20:56,2026-05-28,WNBA,v2.4,PHX @ NYL,PHX,NYL,Game Total,OVER,169.5,BetOnline.ag,169.5,173.39,3.89,173.39,56,C,LEAN OVER,LEAN OVER,0.35,1.75,1.91,LEAN OVER at 0.350u,NEGATIVE,STRONG POSITIVE,STRONG POSITIVE,NEUTRAL,NEUTRAL,NEGATIVE,STRONG POSITIVE,"moderate model edge; pace suppresses scoring; offensive efficiency supports; four factors: OREB-, FTA+; policy allows small stake",169.5,169.5,BetOnline.ag,2026-05-28 23:20:58,0.0,0.0,PUSH,,,OPEN,odds_api_totals,,,,,
2026-05-28|WNBA|PHX @ NYL|Game Total|OVER|170.0|v2.4,2026-05-28 02:08:38,2026-05-28,WNBA,v2.4,PHX @ NYL,PHX,NYL,Game Total,OVER,170.0,BetOnline.ag,169.5,173.39,3.39,173.39,54,C,PASS,PASS,0.0,0.0,1.91,No stake: watchlist/pass,NEGATIVE,STRONG POSITIVE,STRONG POSITIVE,NEUTRAL,NEUTRAL,NEGATIVE,STRONG POSITIVE,"small model edge; pace suppresses scoring; offensive efficiency supports; four factors: OREB-, FTA+; policy pass",169.5,169.5,BetOnline.ag,2026-05-28 23:20:58,-0.5,-0.2941176470588235,NO,,,OPEN,odds_api_totals,,,,,
2026-05-28|WNBA|PHX @ NYL|Game Total|OVER|171.5|v2.4,2026-05-28 13:33:53,2026-05-28,WNBA,v2.4,PHX @ NYL,PHX,NYL,Game Total,OVER,171.5,FanDuel,171.5,173.39,1.89,173.39,43,D,PASS,PASS,0.0,0.0,1.91,No stake: watchlist/pass,NEGATIVE,STRONG POSITIVE,STRONG POSITIVE,NEUTRAL,NEUTRAL,NEGATIVE,STRONG POSITIVE,"small model edge; pace suppresses scoring; offensive efficiency supports; four factors: OREB-, FTA+; policy pass",169.5,169.5,BetOnline.ag,2026-05-28 23:20:58,-2.0,-1.1661807580174928,NO,,,OPEN,odds_api_totals,,,,,
2026-05-28|WNBA|PHX @ NYL|Game Total|UNDER|173.5|v2.4,2026-05-28 02:26:58,2026-05-28,WNBA,v2.4,PHX @ NYL,PHX,NYL,Game Total,UNDER,173.5,FanDuel,173.5,173.39,-0.11,173.39,30,D,PASS,PASS,0.0,0.0,1.91,No stake: watchlist/pass,NEGATIVE,STRONG POSITIVE,STRONG POSITIVE,NEUTRAL,NEUTRAL,NEGATIVE,STRONG POSITIVE,"small model edge; pace suppresses scoring; offensive efficiency supports; four factors: OREB-, FTA+; policy pass",169.5,169.5,BetOnline.ag,2026-05-28 23:20:58,4.0,2.3054755043227666,YES,,,OPEN,odds_api_totals,,,,,
2026-05-28|WNBA|PHX @ NYL|Game Total|UNDER|175.5|v2.4,2026-05-28 02:20:49,2026-05-28,WNBA,v2.4,PHX @ NYL,PHX,NYL,Game Total,UNDER,175.5,FanDuel,174.0,173.39,-2.11,173.39,34,D,PASS,PASS,0.0,0.0,1.91,No stake: watchlist/pass,NEGATIVE,STRONG POSITIVE,STRONG POSITIVE,NEUTRAL,NEUTRAL,NEGATIVE,STRONG POSITIVE,"small model edge; pace suppresses scoring; offensive efficiency supports; four factors: OREB-, FTA+; policy pass",169.5,169.5,BetOnline.ag,2026-05-28 23:20:58,6.0,3.418803418803419,YES,,,OPEN,odds_api_totals,,,,,
2026-05-28|WNBA|TOR @ CHI|Game Total|UNDER|172.5|v2.4,2026-05-28 02:26:58,2026-05-28,WNBA,v2.4,TOR @ CHI,TOR,CHI,Game Total,UNDER,172.5,BetOnline.ag,172.5,172.03,-0.47,172.03,34,D,PASS,PASS,0.0,0.0,1.91,No stake: watchlist/pass,NEUTRAL,NEUTRAL,POSITIVE,STRONG NEGATIVE,POSITIVE,NEGATIVE,STRONG POSITIVE,"small model edge; pace neutral; four factors: eFG-, turnover+, OREB-, FTA+; policy pass",,,,,,,,215.0,LOSS,GRADED,,111.0,104.0,True,espn_scoreboard,2026-05-28 23:21:01
2026-05-28|WNBA|WAS @ SEA|Game Total|OVER|160.5|v2.4,2026-05-28 02:26:58,2026-05-28,WNBA,v2.4,WAS @ SEA,WAS,SEA,Game Total,OVER,160.5,BetOnline.ag,160.5,166.1,5.6,166.1,46,C,WATCHLIST OVER,LEAN OVER,0.0,0.0,1.91,No stake: watchlist/pass,NEGATIVE,STRONG NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,STRONG POSITIVE,"moderate model edge; pace suppresses scoring; offensive efficiency weak; four factors: eFG-, turnover-, OREB-, FTA+; policy downgrade: watchlist",,,,,,,,,,OPEN,,,,,,
